SKU,Product Name,Store Description,Price (CAD),Base Price (CAD),Surcharge Price (CAD),Line/Category,Availability,Product URL,Price Type,Updated UTC
UACC-OM-SFP10-1510,10G CWDM Single-Mode Optical Module,SFP+ transceiver for CWDM that supports 10G connections up to 20 km using single-mode fiber with a duplex LC UPC connector.,215.00,215.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sfp10,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SFP10-1530,10G CWDM Single-Mode Optical Module,SFP+ transceiver for CWDM that supports 10G connections up to 20 km using single-mode fiber with a duplex LC UPC connector.,215.00,215.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sfp10,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SFP10-1550,10G CWDM Single-Mode Optical Module,SFP+ transceiver for CWDM that supports 10G connections up to 20 km using single-mode fiber with a duplex LC UPC connector.,215.00,215.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sfp10,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SFP10-1570,10G CWDM Single-Mode Optical Module,SFP+ transceiver for CWDM that supports 10G connections up to 20 km using single-mode fiber with a duplex LC UPC connector.,215.00,215.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sfp10,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SFP10-1590,10G CWDM Single-Mode Optical Module,SFP+ transceiver for CWDM that supports 10G connections up to 20 km using single-mode fiber with a duplex LC UPC connector.,215.00,215.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sfp10,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-SFP10-0.5M,10G Direct Attach Cable,SFP+ direct attach cable with a 10 Gbps max data rate.,19.00,19.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10gbps-direct-attach-cable,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-SFP10-1M,10G Direct Attach Cable,SFP+ direct attach cable with a 10 Gbps max data rate.,20.00,20.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10gbps-direct-attach-cable,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-SFP10-3M,10G Direct Attach Cable,SFP+ direct attach cable with a 10 Gbps max data rate.,29.00,29.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10gbps-direct-attach-cable,Exact,2026-08-21T06:26:29+00:00
UACC-Adapter-RJ45-USBC-10GE,10G Ethernet Adapter,"Plug-and-play, Ethernet adapter with USB-C for seamless 10GbE network connectivity.",240.00,240.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-adapter-rj45-usbc-10ge,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP10-10M,10G Long-Range Direct Attach Cable,Long-range SFP+ direct attach cable with a 10 Gbps max data rate.,60.00,60.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP10-20M,10G Long-Range Direct Attach Cable,Long-range SFP+ direct attach cable with a 10 Gbps max data rate.,75.00,75.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP10-30M,10G Long-Range Direct Attach Cable,Long-range SFP+ direct attach cable with a 10 Gbps max data rate.,89.00,89.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP10-5M,10G Long-Range Direct Attach Cable,Long-range SFP+ direct attach cable with a 10 Gbps max data rate.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-OM-MM-10G-D,10G Multi-Mode Optical Module,SFP+ transceiver that supports 10G connections up to 400 m using multi-mode fiber with a duplex LC UPC connector.,28.00,28.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-multi-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-MM-10G-D-2,10G Multi-Mode Optical Module,SFP+ transceiver that supports 10G connections up to 400 m using multi-mode fiber with a duplex LC UPC connector.,50.00,50.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-multi-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-MM-10G-D-20,10G Multi-Mode Optical Module,SFP+ transceiver that supports 10G connections up to 400 m using multi-mode fiber with a duplex LC UPC connector.,515.00,515.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/10-gbps-multi-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SM-10G-D-2,10G Single-Mode Optical Module,SFP+ transceiver that supports 10G connections up to 10 km using single-mode fiber with a duplex LC UPC connector.,120.00,120.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sm-10g-d,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SM-10G-D-20,10G Single-Mode Optical Module,SFP+ transceiver that supports 10G connections up to 10 km using single-mode fiber with a duplex LC UPC connector.,1015.00,1015.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sm-10g-d,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-12U-Wall-450-G,"12U Rack Cabinet, 450 mm, Glass Door","Fully assembled wall-mount rack with built-in fans and removable panels, engineered for easy equipment access and space-efficient small-scale deployments.",285.00,285.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-12u-wall-450-g,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-12U-Wall-450-P,"12U Rack Cabinet, 450 mm, Perforated Door","Fully assembled wall-mount rack with built-in fans and removable panels, engineered for easy equipment access and space-efficient small-scale deployments.",285.00,285.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-12u-wall-450-p,Exact,2026-08-21T06:26:29+00:00
